Warm-started from BC checkpoint: models/checkpoints/bc_mlp_gen1.pt
BC KL-anchor attached: models/checkpoints/bc_mlp_gen1.pt (coef 0.05, constant)
Starting PPO training: 5000000 steps | obs_mode=v2 (obs_size=924) | rollout=512 steps | num_envs=8 | device=mps | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/bcft) | checkpoint every 250000 steps | opp_coef=0.1
Value warmup: policy frozen until step 200000
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:247: UserWarning: checkpoint has no 'opp_head'; using a freshly initialized opponent-prediction head (expected for pre-M5 checkpoints)
  opponent = PPOAgent.load(str(path), device=device)
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:247: UserWarning: could not restore optimizer state (loaded state dict contains a parameter group that doesn't match the size of optimizer's group); using a fresh optimizer (expected when loading a pre-M5 checkpoint into the headed agent)
  opponent = PPOAgent.load(str(path), device=device)
Step 518/5000000 | Win rate (rollout): 0.00 | Loss: 0.453 | Opp label coverage: 0.89
Step 1030/5000000 | Win rate (rollout): 0.30 | Loss: 0.352 | Opp label coverage: 0.81
Step 1547/5000000 | Win rate (rollout): 0.20 | Loss: 0.343 | Opp label coverage: 0.89
Step 2059/5000000 | Win rate (rollout): 0.22 | Loss: 0.305 | Opp label coverage: 0.85
Step 2571/5000000 | Win rate (rollout): 0.20 | Loss: 0.296 | Opp label coverage: 0.89
Step 3083/5000000 | Win rate (rollout): 0.29 | Loss: 0.272 | Opp label coverage: 0.83
Step 3595/5000000 | Win rate (rollout): 0.10 | Loss: 0.262 | Opp label coverage: 0.79
Step 4110/5000000 | Win rate (rollout): 0.25 | Loss: 0.280 | Opp label coverage: 0.92
Step 4623/5000000 | Win rate (rollout): 0.43 | Loss: 0.363 | Opp label coverage: 0.89
Step 5135/5000000 | Win rate (rollout): 0.33 | Loss: 0.320 | Opp label coverage: 0.78
Step 5647/5000000 | Win rate (rollout): 0.06 | Loss: 0.289 | Opp label coverage: 0.83
Step 6161/5000000 | Win rate (rollout): 0.33 | Loss: 0.277 | Opp label coverage: 0.92
Step 6673/5000000 | Win rate (rollout): 0.50 | Loss: 0.352 | Opp label coverage: 0.80
Step 7188/5000000 | Win rate (rollout): 0.50 | Loss: 0.353 | Opp label coverage: 0.90
Step 7700/5000000 | Win rate (rollout): 0.14 | Loss: 0.255 | Opp label coverage: 0.85
Step 8212/5000000 | Win rate (rollout): 0.18 | Loss: 0.282 | Opp label coverage: 0.80
Step 8724/5000000 | Win rate (rollout): 0.10 | Loss: 0.296 | Opp label coverage: 0.82
Step 9236/5000000 | Win rate (rollout): 0.12 | Loss: 0.271 | Opp label coverage: 0.80
Step 9752/5000000 | Win rate (rollout): 0.12 | Loss: 0.245 | Opp label coverage: 0.89
Step 10265/5000000 | Win rate (rollout): 0.21 | Loss: 0.346 | Opp label coverage: 0.91
Step 10777/5000000 | Win rate (rollout): 0.30 | Loss: 0.299 | Opp label coverage: 0.81
Step 11289/5000000 | Win rate (rollout): 0.21 | Loss: 0.296 | Opp label coverage: 0.83
Step 11807/5000000 | Win rate (rollout): 0.00 | Loss: 0.279 | Opp label coverage: 0.89
Step 12319/5000000 | Win rate (rollout): 0.25 | Loss: 0.296 | Opp label coverage: 0.82
Step 12831/5000000 | Win rate (rollout): 0.00 | Loss: 0.220 | Opp label coverage: 0.79
Step 13346/5000000 | Win rate (rollout): 0.00 | Loss: 0.239 | Opp label coverage: 0.88
Step 13858/5000000 | Win rate (rollout): 0.09 | Loss: 0.272 | Opp label coverage: 0.80
Step 14374/5000000 | Win rate (rollout): 0.18 | Loss: 0.295 | Opp label coverage: 0.89
Step 14886/5000000 | Win rate (rollout): 0.12 | Loss: 0.236 | Opp label coverage: 0.81
