Warm-started from BC checkpoint: models/checkpoints/bc_mlp_gen1_v3_rb5.pt
BC KL-anchor attached: models/checkpoints/bc_mlp_gen1_v3_rb5.pt (coef 0.05, constant)
Starting PPO training: 5000000 steps | obs_mode=v3 (obs_size=1032) | rollout=512 steps | num_envs=8 | device=cuda | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/m9p2c) | checkpoint every 250000 steps | opp_coef=0.1
Value warmup: policy frozen until step 200000
/home/laith/Projects/pokemon-showdown-ai/models/ppo/train.py:271: UserWarning: checkpoint has no 'opp_head'; using a freshly initialized opponent-prediction head (expected for pre-M5 checkpoints)
  opponent = PPOAgent.load(str(path), device=device)
/home/laith/Projects/pokemon-showdown-ai/models/ppo/train.py:271: UserWarning: could not restore optimizer state (loaded state dict contains a parameter group that doesn't match the size of optimizer's group); using a fresh optimizer (expected when loading a pre-M5 checkpoint into the headed agent)
  opponent = PPOAgent.load(str(path), device=device)
Step 512/5000000 | Win rate (rollout): 0.45 | Loss: 0.534 | Opp label coverage: 0.82
Step 1024/5000000 | Win rate (rollout): 0.28 | Loss: 0.416 | Opp label coverage: 0.86
Step 1538/5000000 | Win rate (rollout): 0.20 | Loss: 0.345 | Opp label coverage: 0.88
Step 2050/5000000 | Win rate (rollout): 0.38 | Loss: 0.322 | Opp label coverage: 0.85
Step 2562/5000000 | Win rate (rollout): 0.33 | Loss: 0.330 | Opp label coverage: 0.91
Step 3074/5000000 | Win rate (rollout): 0.31 | Loss: 0.367 | Opp label coverage: 0.84
Step 3586/5000000 | Win rate (rollout): 0.36 | Loss: 0.393 | Opp label coverage: 0.83
Step 4105/5000000 | Win rate (rollout): 0.18 | Loss: 0.304 | Opp label coverage: 0.87
Step 4618/5000000 | Win rate (rollout): 0.50 | Loss: 0.331 | Opp label coverage: 0.90
Step 5130/5000000 | Win rate (rollout): 0.38 | Loss: 0.371 | Opp label coverage: 0.83
Step 5642/5000000 | Win rate (rollout): 0.27 | Loss: 0.359 | Opp label coverage: 0.89
Step 6154/5000000 | Win rate (rollout): 0.45 | Loss: 0.311 | Opp label coverage: 0.83
Step 6666/5000000 | Win rate (rollout): 0.25 | Loss: 0.368 | Opp label coverage: 0.84
Step 7184/5000000 | Win rate (rollout): 0.50 | Loss: 0.364 | Opp label coverage: 0.89
Step 7702/5000000 | Win rate (rollout): 0.50 | Loss: 0.329 | Opp label coverage: 0.90
Step 8214/5000000 | Win rate (rollout): 0.17 | Loss: 0.341 | Opp label coverage: 0.84
Step 8726/5000000 | Win rate (rollout): 0.40 | Loss: 0.323 | Opp label coverage: 0.86
Step 9243/5000000 | Win rate (rollout): 0.38 | Loss: 0.294 | Opp label coverage: 0.91
Step 9755/5000000 | Win rate (rollout): 0.33 | Loss: 0.331 | Opp label coverage: 0.84
Step 10267/5000000 | Win rate (rollout): 0.43 | Loss: 0.312 | Opp label coverage: 0.86
Step 10784/5000000 | Win rate (rollout): 0.56 | Loss: 0.308 | Opp label coverage: 0.91
Step 11296/5000000 | Win rate (rollout): 0.33 | Loss: 0.302 | Opp label coverage: 0.82
Step 11808/5000000 | Win rate (rollout): 0.25 | Loss: 0.311 | Opp label coverage: 0.82
Step 12322/5000000 | Win rate (rollout): 0.56 | Loss: 0.221 | Opp label coverage: 0.91
Step 12834/5000000 | Win rate (rollout): 0.40 | Loss: 0.297 | Opp label coverage: 0.78
Step 13346/5000000 | Win rate (rollout): 0.33 | Loss: 0.319 | Opp label coverage: 0.75
Step 13858/5000000 | Win rate (rollout): 0.31 | Loss: 0.341 | Opp label coverage: 0.80
Step 14370/5000000 | Win rate (rollout): 0.43 | Loss: 0.357 | Opp label coverage: 0.79
Step 14888/5000000 | Win rate (rollout): 0.27 | Loss: 0.271 | Opp label coverage: 0.88
Step 15406/5000000 | Win rate (rollout): 0.33 | Loss: 0.347 | Opp label coverage: 0.90
Step 15918/5000000 | Win rate (rollout): 0.22 | Loss: 0.272 | Opp label coverage: 0.82
Step 16430/5000000 | Win rate (rollout): 0.42 | Loss: 0.314 | Opp label coverage: 0.81
Step 16942/5000000 | Win rate (rollout): 0.36 | Loss: 0.307 | Opp label coverage: 0.83
Step 17455/5000000 | Win rate (rollout): 0.36 | Loss: 0.282 | Opp label coverage: 0.88
Step 17967/5000000 | Win rate (rollout): 0.38 | Loss: 0.367 | Opp label coverage: 0.88
Step 18479/5000000 | Win rate (rollout): 0.38 | Loss: 0.273 | Opp label coverage: 0.84
Step 18993/5000000 | Win rate (rollout): 0.45 | Loss: 0.369 | Opp label coverage: 0.88
Step 19507/5000000 | Win rate (rollout): 0.54 | Loss: 0.331 | Opp label coverage: 0.91
Step 20022/5000000 | Win rate (rollout): 0.14 | Loss: 0.331 | Opp label coverage: 0.90
Step 20534/5000000 | Win rate (rollout): 0.33 | Loss: 0.288 | Opp label coverage: 0.84
Step 21049/5000000 | Win rate (rollout): 0.20 | Loss: 0.290 | Opp label coverage: 0.88
Step 21561/5000000 | Win rate (rollout): 0.44 | Loss: 0.308 | Opp label coverage: 0.88
Step 22073/5000000 | Win rate (rollout): 0.20 | Loss: 0.349 | Opp label coverage: 0.83
Step 22589/5000000 | Win rate (rollout): 0.62 | Loss: 0.335 | Opp label coverage: 0.91
Step 23101/5000000 | Win rate (rollout): 0.15 | Loss: 0.336 | Opp label coverage: 0.83
Step 23617/5000000 | Win rate (rollout): 0.43 | Loss: 0.278 | Opp label coverage: 0.90
Step 24135/5000000 | Win rate (rollout): 0.47 | Loss: 0.281 | Opp label coverage: 0.89
Step 24653/5000000 | Win rate (rollout): 0.42 | Loss: 0.365 | Opp label coverage: 0.90
Step 25167/5000000 | Win rate (rollout): 0.42 | Loss: 0.281 | Opp label coverage: 0.90
Step 25683/5000000 | Win rate (rollout): 0.31 | Loss: 0.254 | Opp label coverage: 0.89
Step 26198/5000000 | Win rate (rollout): 0.35 | Loss: 0.375 | Opp label coverage: 0.89
Step 26710/5000000 | Win rate (rollout): 0.50 | Loss: 0.289 | Opp label coverage: 0.80
Step 27225/5000000 | Win rate (rollout): 0.30 | Loss: 0.242 | Opp label coverage: 0.89
Step 27737/5000000 | Win rate (rollout): 0.38 | Loss: 0.281 | Opp label coverage: 0.80
Step 28252/5000000 | Win rate (rollout): 0.50 | Loss: 0.323 | Opp label coverage: 0.90
Step 28764/5000000 | Win rate (rollout): 0.36 | Loss: 0.346 | Opp label coverage: 0.79
Step 29280/5000000 | Win rate (rollout): 0.50 | Loss: 0.354 | Opp label coverage: 0.89
Step 29792/5000000 | Win rate (rollout): 0.18 | Loss: 0.290 | Opp label coverage: 0.83
Step 30304/5000000 | Win rate (rollout): 0.15 | Loss: 0.261 | Opp label coverage: 0.82
Step 30816/5000000 | Win rate (rollout): 0.71 | Loss: 0.293 | Opp label coverage: 0.85
Step 31328/5000000 | Win rate (rollout): 0.50 | Loss: 0.335 | Opp label coverage: 0.82
Step 31840/5000000 | Win rate (rollout): 0.38 | Loss: 0.355 | Opp label coverage: 0.84
Step 32355/5000000 | Win rate (rollout): 0.27 | Loss: 0.265 | Opp label coverage: 0.88
Step 32871/5000000 | Win rate (rollout): 0.45 | Loss: 0.320 | Opp label coverage: 0.90
Step 33383/5000000 | Win rate (rollout): 0.57 | Loss: 0.263 | Opp label coverage: 0.84
Step 33896/5000000 | Win rate (rollout): 0.55 | Loss: 0.399 | Opp label coverage: 0.90
Step 34408/5000000 | Win rate (rollout): 0.44 | Loss: 0.282 | Opp label coverage: 0.86
Step 34920/5000000 | Win rate (rollout): 0.33 | Loss: 0.331 | Opp label coverage: 0.78
Step 35435/5000000 | Win rate (rollout): 0.56 | Loss: 0.363 | Opp label coverage: 0.90
Step 35952/5000000 | Win rate (rollout): 0.50 | Loss: 0.310 | Opp label coverage: 0.92
Step 36464/5000000 | Win rate (rollout): 0.50 | Loss: 0.279 | Opp label coverage: 0.85
Step 36978/5000000 | Win rate (rollout): 0.56 | Loss: 0.322 | Opp label coverage: 0.88
Step 37490/5000000 | Win rate (rollout): 0.83 | Loss: 0.276 | Opp label coverage: 0.82
Step 38002/5000000 | Win rate (rollout): 0.21 | Loss: 0.367 | Opp label coverage: 0.78
Step 38514/5000000 | Win rate (rollout): 0.14 | Loss: 0.295 | Opp label coverage: 0.85
Step 39026/5000000 | Win rate (rollout): 0.12 | Loss: 0.239 | Opp label coverage: 0.86
Step 39538/5000000 | Win rate (rollout): 0.27 | Loss: 0.280 | Opp label coverage: 0.82
Step 40051/5000000 | Win rate (rollout): 0.33 | Loss: 0.306 | Opp label coverage: 0.89
Step 40563/5000000 | Win rate (rollout): 0.67 | Loss: 0.319 | Opp label coverage: 0.82
Step 41081/5000000 | Win rate (rollout): 0.27 | Loss: 0.326 | Opp label coverage: 0.88
Step 41599/5000000 | Win rate (rollout): 0.25 | Loss: 0.321 | Opp label coverage: 0.90
Step 42111/5000000 | Win rate (rollout): 0.27 | Loss: 0.329 | Opp label coverage: 0.82
Step 42627/5000000 | Win rate (rollout): 0.50 | Loss: 0.335 | Opp label coverage: 0.89
Step 43143/5000000 | Win rate (rollout): 0.50 | Loss: 0.268 | Opp label coverage: 0.90
Step 43655/5000000 | Win rate (rollout): 0.50 | Loss: 0.264 | Opp label coverage: 0.87
Step 44173/5000000 | Win rate (rollout): 0.56 | Loss: 0.353 | Opp label coverage: 0.89
Step 44685/5000000 | Win rate (rollout): 0.29 | Loss: 0.277 | Opp label coverage: 0.89
Step 45197/5000000 | Win rate (rollout): 0.44 | Loss: 0.287 | Opp label coverage: 0.83
Step 45715/5000000 | Win rate (rollout): 0.33 | Loss: 0.322 | Opp label coverage: 0.90
Step 46227/5000000 | Win rate (rollout): 0.36 | Loss: 0.285 | Opp label coverage: 0.88
Step 46744/5000000 | Win rate (rollout): 0.56 | Loss: 0.349 | Opp label coverage: 0.90
Step 47256/5000000 | Win rate (rollout): 0.20 | Loss: 0.295 | Opp label coverage: 0.80
Step 47770/5000000 | Win rate (rollout): 0.40 | Loss: 0.396 | Opp label coverage: 0.89
Step 48286/5000000 | Win rate (rollout): 0.19 | Loss: 0.322 | Opp label coverage: 0.88
Step 48798/5000000 | Win rate (rollout): 0.38 | Loss: 0.346 | Opp label coverage: 0.79
Step 49311/5000000 | Win rate (rollout): 0.60 | Loss: 0.400 | Opp label coverage: 0.92
Step 49830/5000000 | Win rate (rollout): 0.50 | Loss: 0.317 | Opp label coverage: 0.90
Step 50342/5000000 | Win rate (rollout): 0.25 | Loss: 0.308 | Opp label coverage: 0.80
Step 50856/5000000 | Win rate (rollout): 0.10 | Loss: 0.268 | Opp label coverage: 0.90
Step 51368/5000000 | Win rate (rollout): 0.50 | Loss: 0.277 | Opp label coverage: 0.80
Step 51881/5000000 | Win rate (rollout): 0.38 | Loss: 0.326 | Opp label coverage: 0.89
Step 52393/5000000 | Win rate (rollout): 0.38 | Loss: 0.350 | Opp label coverage: 0.84
Step 52905/5000000 | Win rate (rollout): 0.27 | Loss: 0.334 | Opp label coverage: 0.83
Step 53417/5000000 | Win rate (rollout): 0.38 | Loss: 0.271 | Opp label coverage: 0.81
Step 53931/5000000 | Win rate (rollout): 0.33 | Loss: 0.273 | Opp label coverage: 0.90
Step 54443/5000000 | Win rate (rollout): 0.42 | Loss: 0.324 | Opp label coverage: 0.81
Step 54958/5000000 | Win rate (rollout): 0.50 | Loss: 0.313 | Opp label coverage: 0.89
Step 55477/5000000 | Win rate (rollout): 0.24 | Loss: 0.295 | Opp label coverage: 0.89
Step 55991/5000000 | Win rate (rollout): 0.50 | Loss: 0.257 | Opp label coverage: 0.89
Step 56509/5000000 | Win rate (rollout): 0.23 | Loss: 0.246 | Opp label coverage: 0.89
Step 57024/5000000 | Win rate (rollout): 0.38 | Loss: 0.332 | Opp label coverage: 0.90
Step 57536/5000000 | Win rate (rollout): 0.25 | Loss: 0.284 | Opp label coverage: 0.81
Step 58048/5000000 | Win rate (rollout): 0.44 | Loss: 0.306 | Opp label coverage: 0.81
Step 58560/5000000 | Win rate (rollout): 0.24 | Loss: 0.318 | Opp label coverage: 0.87
Step 59077/5000000 | Win rate (rollout): 0.56 | Loss: 0.286 | Opp label coverage: 0.90
Step 59589/5000000 | Win rate (rollout): 0.55 | Loss: 0.359 | Opp label coverage: 0.82
Step 60101/5000000 | Win rate (rollout): 0.24 | Loss: 0.343 | Opp label coverage: 0.80
Step 60613/5000000 | Win rate (rollout): 0.40 | Loss: 0.338 | Opp label coverage: 0.83
Step 61125/5000000 | Win rate (rollout): 0.40 | Loss: 0.280 | Opp label coverage: 0.81
Step 61637/5000000 | Win rate (rollout): 0.18 | Loss: 0.308 | Opp label coverage: 0.81
Step 62149/5000000 | Win rate (rollout): 0.31 | Loss: 0.351 | Opp label coverage: 0.79
Step 62661/5000000 | Win rate (rollout): 0.57 | Loss: 0.279 | Opp label coverage: 0.85
Step 63174/5000000 | Win rate (rollout): 0.25 | Loss: 0.323 | Opp label coverage: 0.89
Step 63691/5000000 | Win rate (rollout): 0.41 | Loss: 0.366 | Opp label coverage: 0.89
Step 64210/5000000 | Win rate (rollout): 0.36 | Loss: 0.352 | Opp label coverage: 0.88
Step 64722/5000000 | Win rate (rollout): 0.40 | Loss: 0.347 | Opp label coverage: 0.88
Step 65234/5000000 | Win rate (rollout): 0.15 | Loss: 0.280 | Opp label coverage: 0.89
Step 65746/5000000 | Win rate (rollout): 0.43 | Loss: 0.278 | Opp label coverage: 0.85
Step 66258/5000000 | Win rate (rollout): 0.23 | Loss: 0.320 | Opp label coverage: 0.82
Step 66770/5000000 | Win rate (rollout): 0.23 | Loss: 0.300 | Opp label coverage: 0.82
Step 67282/5000000 | Win rate (rollout): 0.36 | Loss: 0.289 | Opp label coverage: 0.83
Step 67794/5000000 | Win rate (rollout): 0.25 | Loss: 0.281 | Opp label coverage: 0.82
Step 68306/5000000 | Win rate (rollout): 0.00 | Loss: 0.255 | Opp label coverage: 0.83
Step 68818/5000000 | Win rate (rollout): 0.47 | Loss: 0.351 | Opp label coverage: 0.82
Step 69333/5000000 | Win rate (rollout): 0.36 | Loss: 0.299 | Opp label coverage: 0.89
Step 69852/5000000 | Win rate (rollout): 0.15 | Loss: 0.306 | Opp label coverage: 0.89
Step 70364/5000000 | Win rate (rollout): 0.70 | Loss: 0.337 | Opp label coverage: 0.84
Step 70879/5000000 | Win rate (rollout): 0.75 | Loss: 0.376 | Opp label coverage: 0.90
Step 71392/5000000 | Win rate (rollout): 0.67 | Loss: 0.239 | Opp label coverage: 0.89
Step 71904/5000000 | Win rate (rollout): 0.33 | Loss: 0.318 | Opp label coverage: 0.80
Step 72421/5000000 | Win rate (rollout): 0.50 | Loss: 0.304 | Opp label coverage: 0.91
Step 72933/5000000 | Win rate (rollout): 0.29 | Loss: 0.285 | Opp label coverage: 0.84
Step 73446/5000000 | Win rate (rollout): 0.38 | Loss: 0.295 | Opp label coverage: 0.89
Step 73958/5000000 | Win rate (rollout): 0.15 | Loss: 0.316 | Opp label coverage: 0.83
Step 74470/5000000 | Win rate (rollout): 0.29 | Loss: 0.259 | Opp label coverage: 0.87
Step 74982/5000000 | Win rate (rollout): 0.29 | Loss: 0.282 | Opp label coverage: 0.87
Step 75494/5000000 | Win rate (rollout): 0.20 | Loss: 0.252 | Opp label coverage: 0.91
Step 76008/5000000 | Win rate (rollout): 0.67 | Loss: 0.310 | Opp label coverage: 0.91
Step 76520/5000000 | Win rate (rollout): 0.42 | Loss: 0.375 | Opp label coverage: 0.81
Step 77039/5000000 | Win rate (rollout): 0.44 | Loss: 0.325 | Opp label coverage: 0.89
Step 77553/5000000 | Win rate (rollout): 0.29 | Loss: 0.305 | Opp label coverage: 0.88
Step 78065/5000000 | Win rate (rollout): 0.30 | Loss: 0.319 | Opp label coverage: 0.86
Step 78577/5000000 | Win rate (rollout): 0.21 | Loss: 0.337 | Opp label coverage: 0.82
Step 79089/5000000 | Win rate (rollout): 0.44 | Loss: 0.318 | Opp label coverage: 0.85
Step 79601/5000000 | Win rate (rollout): 0.24 | Loss: 0.293 | Opp label coverage: 0.82
