Warm-started from BC checkpoint: models/checkpoints/bc_mlp_gen1_v3.pt
BC KL-anchor attached: models/checkpoints/bc_mlp_gen1_v3.pt (coef 0.05, constant)
Starting PPO training: 5000000 steps | obs_mode=v3 (obs_size=1032) | rollout=512 steps | num_envs=8 | device=cuda | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/human_pool) | checkpoint every 250000 steps | opp_coef=0.1
Value warmup: policy frozen until step 200000
Step 512/5000000 | Win rate (rollout): 0.17 | Loss: 0.315 | Opp label coverage: 0.90
Step 1024/5000000 | Win rate (rollout): 0.31 | Loss: 0.334 | Opp label coverage: 0.91
Step 1541/5000000 | Win rate (rollout): 0.67 | Loss: 0.288 | Opp label coverage: 0.93
Step 2058/5000000 | Win rate (rollout): 0.33 | Loss: 0.302 | Opp label coverage: 0.89
Step 2570/5000000 | Win rate (rollout): 0.12 | Loss: 0.296 | Opp label coverage: 0.81
Step 3082/5000000 | Win rate (rollout): 0.55 | Loss: 0.333 | Opp label coverage: 0.80
Step 3594/5000000 | Win rate (rollout): 0.38 | Loss: 0.342 | Opp label coverage: 0.83
Step 4107/5000000 | Win rate (rollout): 0.33 | Loss: 0.357 | Opp label coverage: 0.91
Step 4619/5000000 | Win rate (rollout): 0.36 | Loss: 0.362 | Opp label coverage: 0.83
Step 5138/5000000 | Win rate (rollout): 0.67 | Loss: 0.310 | Opp label coverage: 0.91
Step 5650/5000000 | Win rate (rollout): 0.20 | Loss: 0.346 | Opp label coverage: 0.84
Step 6168/5000000 | Win rate (rollout): 0.57 | Loss: 0.283 | Opp label coverage: 0.93
Step 6683/5000000 | Win rate (rollout): 0.46 | Loss: 0.283 | Opp label coverage: 0.91
Step 7195/5000000 | Win rate (rollout): 0.22 | Loss: 0.284 | Opp label coverage: 0.80
Step 7713/5000000 | Win rate (rollout): 0.62 | Loss: 0.340 | Opp label coverage: 0.92
Step 8225/5000000 | Win rate (rollout): 0.58 | Loss: 0.343 | Opp label coverage: 0.84
Step 8737/5000000 | Win rate (rollout): 0.31 | Loss: 0.359 | Opp label coverage: 0.78
Step 9251/5000000 | Win rate (rollout): 0.38 | Loss: 0.292 | Opp label coverage: 0.91
Step 9763/5000000 | Win rate (rollout): 0.54 | Loss: 0.335 | Opp label coverage: 0.78
Step 10275/5000000 | Win rate (rollout): 0.27 | Loss: 0.339 | Opp label coverage: 0.80
Step 10790/5000000 | Win rate (rollout): 0.33 | Loss: 0.267 | Opp label coverage: 0.93
Step 11302/5000000 | Win rate (rollout): 0.20 | Loss: 0.297 | Opp label coverage: 0.85
Step 11814/5000000 | Win rate (rollout): 0.41 | Loss: 0.331 | Opp label coverage: 0.85
