Warm-started from BC checkpoint: models/checkpoints/bc_mlp_gen1_v3.pt
BC KL-anchor attached: models/checkpoints/bc_mlp_gen1_v3.pt (coef 0.05, constant)
Starting PPO training: 5000000 steps | obs_mode=v3 (obs_size=1032) | rollout=512 steps | num_envs=8 | device=cuda | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/m9seed) | checkpoint every 250000 steps | opp_coef=0.1
Value warmup: policy frozen until step 200000
/home/laith/Projects/pokemon-showdown-ai/models/ppo/train.py:271: UserWarning: checkpoint has no 'opp_head'; using a freshly initialized opponent-prediction head (expected for pre-M5 checkpoints)
  opponent = PPOAgent.load(str(path), device=device)
/home/laith/Projects/pokemon-showdown-ai/models/ppo/train.py:271: UserWarning: could not restore optimizer state (loaded state dict contains a parameter group that doesn't match the size of optimizer's group); using a fresh optimizer (expected when loading a pre-M5 checkpoint into the headed agent)
  opponent = PPOAgent.load(str(path), device=device)
Step 519/5000000 | Win rate (rollout): 0.27 | Loss: 0.380 | Opp label coverage: 0.90
Step 1034/5000000 | Win rate (rollout): 0.42 | Loss: 0.453 | Opp label coverage: 0.90
Step 1548/5000000 | Win rate (rollout): 0.43 | Loss: 0.436 | Opp label coverage: 0.89
Step 2062/5000000 | Win rate (rollout): 0.40 | Loss: 0.353 | Opp label coverage: 0.89
Step 2581/5000000 | Win rate (rollout): 0.27 | Loss: 0.336 | Opp label coverage: 0.90
Step 3094/5000000 | Win rate (rollout): 0.20 | Loss: 0.276 | Opp label coverage: 0.91
Step 3611/5000000 | Win rate (rollout): 0.23 | Loss: 0.258 | Opp label coverage: 0.92
Step 4123/5000000 | Win rate (rollout): 0.75 | Loss: 0.322 | Opp label coverage: 0.80
Step 4639/5000000 | Win rate (rollout): 0.23 | Loss: 0.353 | Opp label coverage: 0.88
Step 5151/5000000 | Win rate (rollout): 0.78 | Loss: 0.335 | Opp label coverage: 0.86
Step 5665/5000000 | Win rate (rollout): 0.38 | Loss: 0.403 | Opp label coverage: 0.91
Step 6182/5000000 | Win rate (rollout): 0.25 | Loss: 0.295 | Opp label coverage: 0.89
Step 6694/5000000 | Win rate (rollout): 0.27 | Loss: 0.308 | Opp label coverage: 0.82
Step 7206/5000000 | Win rate (rollout): 0.43 | Loss: 0.308 | Opp label coverage: 0.78
Step 7718/5000000 | Win rate (rollout): 0.42 | Loss: 0.330 | Opp label coverage: 0.89
Step 8233/5000000 | Win rate (rollout): 0.47 | Loss: 0.350 | Opp label coverage: 0.88
Step 8748/5000000 | Win rate (rollout): 0.18 | Loss: 0.336 | Opp label coverage: 0.90
Step 9260/5000000 | Win rate (rollout): 0.36 | Loss: 0.329 | Opp label coverage: 0.84
Step 9773/5000000 | Win rate (rollout): 0.25 | Loss: 0.396 | Opp label coverage: 0.89
Step 10285/5000000 | Win rate (rollout): 0.20 | Loss: 0.298 | Opp label coverage: 0.81
Step 10799/5000000 | Win rate (rollout): 0.12 | Loss: 0.311 | Opp label coverage: 0.90
Step 11311/5000000 | Win rate (rollout): 0.25 | Loss: 0.313 | Opp label coverage: 0.79
Step 11823/5000000 | Win rate (rollout): 0.41 | Loss: 0.302 | Opp label coverage: 0.83
Step 12339/5000000 | Win rate (rollout): 0.29 | Loss: 0.315 | Opp label coverage: 0.89
Step 12851/5000000 | Win rate (rollout): 0.33 | Loss: 0.358 | Opp label coverage: 0.85
