Starting PPO training: 5000000 steps | obs_mode=v2 (obs_size=924) | rollout=512 steps | num_envs=8 | device=mps | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: /Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/checkpoints/opp) | checkpoint every 25000 steps | opp_coef=0.1
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:197: UserWarning: checkpoint has no 'opp_head'; using a freshly initialized opponent-prediction head (expected for pre-M5 checkpoints)
  opponent = PPOAgent.load(str(path), device=device)
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:197: UserWarning: could not restore optimizer state (loaded state dict contains a parameter group that doesn't match the size of optimizer's group); using a fresh optimizer (expected when loading a pre-M5 checkpoint into the headed agent)
  opponent = PPOAgent.load(str(path), device=device)
Step 512/5000000 | Win rate (rollout): 0.00 | Loss: 0.223 | Opp label coverage: 0.89
Step 1024/5000000 | Win rate (rollout): 0.00 | Loss: 0.180 | Opp label coverage: 0.86
Step 1539/5000000 | Win rate (rollout): 0.15 | Loss: 0.196 | Opp label coverage: 0.87
Step 2051/5000000 | Win rate (rollout): 0.09 | Loss: 0.146 | Opp label coverage: 0.79
Step 2563/5000000 | Win rate (rollout): 0.00 | Loss: 0.122 | Opp label coverage: 0.83
Step 3078/5000000 | Win rate (rollout): 0.00 | Loss: 0.092 | Opp label coverage: 0.88
Step 3592/5000000 | Win rate (rollout): 0.08 | Loss: 0.162 | Opp label coverage: 0.88
Step 4104/5000000 | Win rate (rollout): 0.00 | Loss: 0.111 | Opp label coverage: 0.83
Step 4616/5000000 | Win rate (rollout): 0.06 | Loss: 0.112 | Opp label coverage: 0.83
Step 5134/5000000 | Win rate (rollout): 0.00 | Loss: 0.118 | Opp label coverage: 0.89
Step 5646/5000000 | Win rate (rollout): 0.00 | Loss: 0.112 | Opp label coverage: 0.80
Step 6158/5000000 | Win rate (rollout): 0.09 | Loss: 0.150 | Opp label coverage: 0.88
Step 6670/5000000 | Win rate (rollout): 0.00 | Loss: 0.107 | Opp label coverage: 0.81
Step 7186/5000000 | Win rate (rollout): 0.11 | Loss: 0.167 | Opp label coverage: 0.87
Step 7698/5000000 | Win rate (rollout): 0.12 | Loss: 0.142 | Opp label coverage: 0.82
Step 8210/5000000 | Win rate (rollout): 0.00 | Loss: 0.116 | Opp label coverage: 0.81
Step 8722/5000000 | Win rate (rollout): 0.00 | Loss: 0.122 | Opp label coverage: 0.84
Step 9234/5000000 | Win rate (rollout): 0.07 | Loss: 0.144 | Opp label coverage: 0.79
Step 9753/5000000 | Win rate (rollout): 0.00 | Loss: 0.168 | Opp label coverage: 0.85
Step 10271/5000000 | Win rate (rollout): 0.08 | Loss: 0.180 | Opp label coverage: 0.91
