Starting PPO training: 5000000 steps | obs_mode=v2 (obs_size=924) | rollout=512 steps | num_envs=8 | device=mps | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/v2) | checkpoint every 250000 steps
Step 519/5000000 | Win rate (rollout): 0.00 | Loss: 0.056
Step 1036/5000000 | Win rate (rollout): 0.06 | Loss: -0.014
Step 1548/5000000 | Win rate (rollout): 0.00 | Loss: -0.018
Step 2060/5000000 | Win rate (rollout): 0.11 | Loss: -0.005
Step 2572/5000000 | Win rate (rollout): 0.00 | Loss: -0.031
Step 3091/5000000 | Win rate (rollout): 0.00 | Loss: -0.005
Step 3609/5000000 | Win rate (rollout): 0.09 | Loss: 0.006
Step 4121/5000000 | Win rate (rollout): 0.00 | Loss: -0.029
Step 4635/5000000 | Win rate (rollout): 0.00 | Loss: -0.054
Step 5148/5000000 | Win rate (rollout): 0.00 | Loss: -0.025
Step 5660/5000000 | Win rate (rollout): 0.00 | Loss: -0.034
Step 6175/5000000 | Win rate (rollout): 0.00 | Loss: -0.011
Step 6692/5000000 | Win rate (rollout): 0.14 | Loss: 0.018
Step 7204/5000000 | Win rate (rollout): 0.00 | Loss: -0.037
Step 7716/5000000 | Win rate (rollout): 0.00 | Loss: -0.028
Step 8228/5000000 | Win rate (rollout): 0.00 | Loss: -0.035
Step 8746/5000000 | Win rate (rollout): 0.00 | Loss: -0.030
Step 9258/5000000 | Win rate (rollout): 0.17 | Loss: -0.019
Step 9770/5000000 | Win rate (rollout): 0.25 | Loss: 0.002
Step 10282/5000000 | Win rate (rollout): 0.00 | Loss: -0.025
Step 10795/5000000 | Win rate (rollout): 0.09 | Loss: -0.013
Step 11309/5000000 | Win rate (rollout): 0.08 | Loss: -0.007
Step 11827/5000000 | Win rate (rollout): 0.29 | Loss: 0.016
Step 12344/5000000 | Win rate (rollout): 0.25 | Loss: -0.010
Step 12856/5000000 | Win rate (rollout): 0.00 | Loss: -0.021
Step 13368/5000000 | Win rate (rollout): 0.12 | Loss: -0.001
Step 13880/5000000 | Win rate (rollout): 0.60 | Loss: 0.018
Step 14392/5000000 | Win rate (rollout): 0.27 | Loss: 0.041
Step 14907/5000000 | Win rate (rollout): 0.44 | Loss: 0.069
Step 15419/5000000 | Win rate (rollout): 0.11 | Loss: 0.003
Step 15937/5000000 | Win rate (rollout): 0.20 | Loss: 0.046
Step 16449/5000000 | Win rate (rollout): 0.50 | Loss: 0.001
Step 16961/5000000 | Win rate (rollout): 0.22 | Loss: 0.009
Step 17473/5000000 | Win rate (rollout): 0.56 | Loss: 0.010
Step 17986/5000000 | Win rate (rollout): 0.14 | Loss: -0.044
Step 18498/5000000 | Win rate (rollout): 0.21 | Loss: 0.008
Step 19010/5000000 | Win rate (rollout): 0.62 | Loss: 0.004
Step 19527/5000000 | Win rate (rollout): 0.20 | Loss: 0.016
Step 20039/5000000 | Win rate (rollout): 0.30 | Loss: 0.041
Step 20551/5000000 | Win rate (rollout): 0.12 | Loss: -0.001
Step 21063/5000000 | Win rate (rollout): 0.09 | Loss: 0.017
Step 21580/5000000 | Win rate (rollout): 0.09 | Loss: 0.013
Step 22092/5000000 | Win rate (rollout): 0.44 | Loss: 0.038
Step 22606/5000000 | Win rate (rollout): 0.20 | Loss: 0.048
Step 23118/5000000 | Win rate (rollout): 0.30 | Loss: 0.016
Step 23630/5000000 | Win rate (rollout): 0.50 | Loss: 0.030
Step 24142/5000000 | Win rate (rollout): 0.44 | Loss: 0.023
Step 24657/5000000 | Win rate (rollout): 0.38 | Loss: 0.004
Step 25169/5000000 | Win rate (rollout): 0.36 | Loss: 0.052
Step 25687/5000000 | Win rate (rollout): 0.64 | Loss: 0.082
Step 26199/5000000 | Win rate (rollout): 0.45 | Loss: 0.018
Step 26711/5000000 | Win rate (rollout): 0.15 | Loss: 0.027
Step 27224/5000000 | Win rate (rollout): 0.50 | Loss: -0.018
Step 27736/5000000 | Win rate (rollout): 0.20 | Loss: 0.036
Step 28254/5000000 | Win rate (rollout): 0.38 | Loss: -0.019
Step 28766/5000000 | Win rate (rollout): 0.00 | Loss: 0.011
Step 29278/5000000 | Win rate (rollout): 0.27 | Loss: 0.023
Step 29792/5000000 | Win rate (rollout): 0.40 | Loss: 0.034
Step 30305/5000000 | Win rate (rollout): 0.27 | Loss: -0.065
Step 30822/5000000 | Win rate (rollout): 0.50 | Loss: 0.026
Step 31337/5000000 | Win rate (rollout): 0.23 | Loss: 0.033
Step 31849/5000000 | Win rate (rollout): 0.45 | Loss: 0.035
Step 32363/5000000 | Win rate (rollout): 0.50 | Loss: 0.001
Step 32879/5000000 | Win rate (rollout): 0.29 | Loss: 0.039
Step 33396/5000000 | Win rate (rollout): 0.54 | Loss: 0.040
Step 33908/5000000 | Win rate (rollout): 0.22 | Loss: 0.006
Step 34423/5000000 | Win rate (rollout): 0.22 | Loss: -0.024
Step 34935/5000000 | Win rate (rollout): 0.71 | Loss: 0.017
Step 35447/5000000 | Win rate (rollout): 0.36 | Loss: 0.045
Step 35961/5000000 | Win rate (rollout): 0.43 | Loss: 0.039
Step 36473/5000000 | Win rate (rollout): 0.50 | Loss: 0.025
Step 36990/5000000 | Win rate (rollout): 0.56 | Loss: 0.069
Step 37502/5000000 | Win rate (rollout): 0.33 | Loss: 0.014
Step 38014/5000000 | Win rate (rollout): 0.70 | Loss: 0.031
Step 38526/5000000 | Win rate (rollout): 0.50 | Loss: 0.038
Step 39038/5000000 | Win rate (rollout): 0.25 | Loss: 0.022
Step 39550/5000000 | Win rate (rollout): 0.14 | Loss: 0.016
Step 40064/5000000 | Win rate (rollout): 0.33 | Loss: 0.028
Step 40580/5000000 | Win rate (rollout): 0.17 | Loss: -0.031
Step 41092/5000000 | Win rate (rollout): 0.30 | Loss: 0.024
Step 41604/5000000 | Win rate (rollout): 0.25 | Loss: 0.038
Step 42116/5000000 | Win rate (rollout): 0.31 | Loss: 0.040
Step 42630/5000000 | Win rate (rollout): 0.50 | Loss: -0.020
Step 43142/5000000 | Win rate (rollout): 0.78 | Loss: 0.017
Step 43658/5000000 | Win rate (rollout): 0.45 | Loss: 0.101
Step 44174/5000000 | Win rate (rollout): 0.67 | Loss: 0.012
Step 44691/5000000 | Win rate (rollout): 0.30 | Loss: -0.028
Step 45206/5000000 | Win rate (rollout): 0.50 | Loss: 0.011
Step 45721/5000000 | Win rate (rollout): 0.33 | Loss: -0.012
Step 46233/5000000 | Win rate (rollout): 0.40 | Loss: 0.038
Step 46746/5000000 | Win rate (rollout): 0.29 | Loss: 0.091
Step 47258/5000000 | Win rate (rollout): 0.50 | Loss: 0.042
Step 47770/5000000 | Win rate (rollout): 0.29 | Loss: -0.000
Step 48282/5000000 | Win rate (rollout): 0.30 | Loss: 0.011
Step 48794/5000000 | Win rate (rollout): 0.33 | Loss: 0.051
Step 49306/5000000 | Win rate (rollout): 0.88 | Loss: 0.028
Step 49824/5000000 | Win rate (rollout): 0.42 | Loss: 0.017
Step 50339/5000000 | Win rate (rollout): 0.42 | Loss: -0.033
Step 50851/5000000 | Win rate (rollout): 0.22 | Loss: 0.017
Step 51365/5000000 | Win rate (rollout): 0.25 | Loss: -0.045
Step 51877/5000000 | Win rate (rollout): 0.36 | Loss: 0.031
Step 52389/5000000 | Win rate (rollout): 0.31 | Loss: 0.056
Step 52901/5000000 | Win rate (rollout): 0.23 | Loss: 0.044
Step 53413/5000000 | Win rate (rollout): 0.12 | Loss: 0.017
Step 53930/5000000 | Win rate (rollout): 0.43 | Loss: 0.006
Step 54446/5000000 | Win rate (rollout): 0.23 | Loss: 0.020
Step 54963/5000000 | Win rate (rollout): 0.53 | Loss: -0.009
Step 55475/5000000 | Win rate (rollout): 0.27 | Loss: 0.031
Step 55987/5000000 | Win rate (rollout): 0.00 | Loss: 0.004
Step 56499/5000000 | Win rate (rollout): 0.25 | Loss: 0.025
Step 57017/5000000 | Win rate (rollout): 0.00 | Loss: -0.005
Step 57529/5000000 | Win rate (rollout): 0.38 | Loss: 0.013
Step 58044/5000000 | Win rate (rollout): 0.20 | Loss: 0.024
Step 58559/5000000 | Win rate (rollout): 0.33 | Loss: 0.054
Step 59071/5000000 | Win rate (rollout): 0.60 | Loss: 0.050
Step 59586/5000000 | Win rate (rollout): 0.22 | Loss: 0.060
Step 60104/5000000 | Win rate (rollout): 0.64 | Loss: 0.007
Step 60616/5000000 | Win rate (rollout): 0.22 | Loss: 0.039
Step 61128/5000000 | Win rate (rollout): 0.33 | Loss: 0.056
Step 61640/5000000 | Win rate (rollout): 0.47 | Loss: 0.055
Step 62152/5000000 | Win rate (rollout): 0.29 | Loss: 0.051
Step 62668/5000000 | Win rate (rollout): 0.36 | Loss: 0.039
Step 63180/5000000 | Win rate (rollout): 0.17 | Loss: 0.021
Step 63693/5000000 | Win rate (rollout): 0.33 | Loss: 0.013
Step 64205/5000000 | Win rate (rollout): 0.54 | Loss: 0.041
Step 64717/5000000 | Win rate (rollout): 0.55 | Loss: 0.028
Step 65230/5000000 | Win rate (rollout): 0.60 | Loss: 0.107
Step 65742/5000000 | Win rate (rollout): 0.22 | Loss: 0.039
Step 66254/5000000 | Win rate (rollout): 0.31 | Loss: 0.027
Step 66766/5000000 | Win rate (rollout): 0.38 | Loss: 0.064
Step 67278/5000000 | Win rate (rollout): 0.33 | Loss: 0.015
Step 67796/5000000 | Win rate (rollout): 0.46 | Loss: 0.042
Step 68308/5000000 | Win rate (rollout): 0.33 | Loss: 0.050
Step 68826/5000000 | Win rate (rollout): 0.33 | Loss: 0.014
Step 69343/5000000 | Win rate (rollout): 0.43 | Loss: 0.051
Step 69855/5000000 | Win rate (rollout): 0.23 | Loss: 0.029
Step 70367/5000000 | Win rate (rollout): 0.12 | Loss: 0.012
Step 70883/5000000 | Win rate (rollout): 0.43 | Loss: 0.066
Step 71399/5000000 | Win rate (rollout): 0.43 | Loss: 0.056
Step 71918/5000000 | Win rate (rollout): 0.55 | Loss: -0.006
Step 72430/5000000 | Win rate (rollout): 0.43 | Loss: 0.039
Step 72944/5000000 | Win rate (rollout): 0.44 | Loss: 0.025
Step 73459/5000000 | Win rate (rollout): 0.12 | Loss: 0.030
Step 73972/5000000 | Win rate (rollout): 0.44 | Loss: -0.004
Step 74486/5000000 | Win rate (rollout): 0.17 | Loss: -0.031
Step 75001/5000000 | Win rate (rollout): 0.40 | Loss: 0.025
Step 75514/5000000 | Win rate (rollout): 0.23 | Loss: 0.122
Step 76032/5000000 | Win rate (rollout): 0.14 | Loss: -0.028
Step 76547/5000000 | Win rate (rollout): 0.36 | Loss: 0.042
Step 77059/5000000 | Win rate (rollout): 0.22 | Loss: 0.017
Step 77576/5000000 | Win rate (rollout): 0.43 | Loss: -0.003
Step 78088/5000000 | Win rate (rollout): 0.12 | Loss: 0.017
Step 78600/5000000 | Win rate (rollout): 0.50 | Loss: 0.024
Step 79115/5000000 | Win rate (rollout): 0.27 | Loss: -0.004
Step 79627/5000000 | Win rate (rollout): 0.38 | Loss: 0.013
Step 80144/5000000 | Win rate (rollout): 0.12 | Loss: 0.047
Step 80656/5000000 | Win rate (rollout): 0.38 | Loss: 0.047
Step 81168/5000000 | Win rate (rollout): 0.13 | Loss: 0.023
Step 81683/5000000 | Win rate (rollout): 0.12 | Loss: 0.069
Step 82200/5000000 | Win rate (rollout): 0.47 | Loss: 0.082
Step 82719/5000000 | Win rate (rollout): 0.36 | Loss: 0.053
Step 83231/5000000 | Win rate (rollout): 0.36 | Loss: 0.040
Step 83748/5000000 | Win rate (rollout): 0.38 | Loss: 0.091
Step 84260/5000000 | Win rate (rollout): 0.36 | Loss: 0.040
Step 84772/5000000 | Win rate (rollout): 0.50 | Loss: 0.046
Step 85288/5000000 | Win rate (rollout): 0.33 | Loss: 0.046
Step 85805/5000000 | Win rate (rollout): 0.75 | Loss: -0.017
Step 86317/5000000 | Win rate (rollout): 0.43 | Loss: 0.016
Step 86835/5000000 | Win rate (rollout): 0.60 | Loss: 0.047
Step 87347/5000000 | Win rate (rollout): 0.45 | Loss: 0.020
Step 87859/5000000 | Win rate (rollout): 0.44 | Loss: 0.043
Step 88371/5000000 | Win rate (rollout): 0.33 | Loss: 0.043
Step 88890/5000000 | Win rate (rollout): 0.60 | Loss: 0.013
Step 89402/5000000 | Win rate (rollout): 0.29 | Loss: 0.002
Step 89914/5000000 | Win rate (rollout): 0.36 | Loss: 0.035
Step 90426/5000000 | Win rate (rollout): 0.25 | Loss: 0.005
Step 90939/5000000 | Win rate (rollout): 0.27 | Loss: 0.029
Step 91451/5000000 | Win rate (rollout): 0.40 | Loss: 0.025
Step 91963/5000000 | Win rate (rollout): 0.40 | Loss: 0.030
Step 92482/5000000 | Win rate (rollout): 0.60 | Loss: 0.025
Step 92998/5000000 | Win rate (rollout): 0.21 | Loss: 0.002
Step 93510/5000000 | Win rate (rollout): 0.56 | Loss: 0.012
Step 94028/5000000 | Win rate (rollout): 0.29 | Loss: 0.012
Step 94541/5000000 | Win rate (rollout): 0.27 | Loss: 0.079
Step 95057/5000000 | Win rate (rollout): 0.33 | Loss: 0.040
Step 95569/5000000 | Win rate (rollout): 0.57 | Loss: 0.021
Step 96081/5000000 | Win rate (rollout): 0.38 | Loss: 0.042
Step 96593/5000000 | Win rate (rollout): 0.25 | Loss: 0.012
Step 97105/5000000 | Win rate (rollout): 0.47 | Loss: 0.023
Step 97617/5000000 | Win rate (rollout): 0.43 | Loss: -0.003
Step 98129/5000000 | Win rate (rollout): 0.33 | Loss: 0.024
Step 98641/5000000 | Win rate (rollout): 0.06 | Loss: 0.009
Step 99156/5000000 | Win rate (rollout): 0.25 | Loss: 0.016
Step 99670/5000000 | Win rate (rollout): 0.50 | Loss: -0.036
Step 100182/5000000 | Win rate (rollout): 0.17 | Loss: 0.003
Step 100695/5000000 | Win rate (rollout): 0.30 | Loss: -0.072
Step 101207/5000000 | Win rate (rollout): 0.50 | Loss: 0.025
Step 101719/5000000 | Win rate (rollout): 0.18 | Loss: 0.019
Step 102233/5000000 | Win rate (rollout): 0.33 | Loss: 0.016
Step 102745/5000000 | Win rate (rollout): 0.54 | Loss: 0.026
Step 103257/5000000 | Win rate (rollout): 0.43 | Loss: 0.046
Step 103769/5000000 | Win rate (rollout): 0.50 | Loss: 0.024
Step 104281/5000000 | Win rate (rollout): 0.22 | Loss: 0.031
Step 104793/5000000 | Win rate (rollout): 0.55 | Loss: 0.051
Step 105305/5000000 | Win rate (rollout): 0.62 | Loss: 0.031
Step 105817/5000000 | Win rate (rollout): 0.33 | Loss: 0.032
Step 106332/5000000 | Win rate (rollout): 0.50 | Loss: 0.019
Step 106846/5000000 | Win rate (rollout): 0.54 | Loss: 0.054
Step 107358/5000000 | Win rate (rollout): 0.33 | Loss: 0.008
Step 107870/5000000 | Win rate (rollout): 0.14 | Loss: 0.057
Step 108382/5000000 | Win rate (rollout): 0.21 | Loss: 0.025
Step 108894/5000000 | Win rate (rollout): 0.62 | Loss: 0.027
Step 109406/5000000 | Win rate (rollout): 0.36 | Loss: 0.035
Step 109918/5000000 | Win rate (rollout): 0.33 | Loss: 0.019
Step 110430/5000000 | Win rate (rollout): 0.38 | Loss: 0.035
Step 110942/5000000 | Win rate (rollout): 0.54 | Loss: 0.053
Step 111458/5000000 | Win rate (rollout): 0.30 | Loss: 0.018
Step 111972/5000000 | Win rate (rollout): 0.41 | Loss: 0.035
Step 112484/5000000 | Win rate (rollout): 0.38 | Loss: 0.048
Step 112996/5000000 | Win rate (rollout): 0.50 | Loss: 0.039
Step 113513/5000000 | Win rate (rollout): 0.33 | Loss: 0.021
Step 114025/5000000 | Win rate (rollout): 0.00 | Loss: -0.002
Step 114537/5000000 | Win rate (rollout): 0.38 | Loss: 0.009
Step 115050/5000000 | Win rate (rollout): 0.10 | Loss: -0.065
Step 115562/5000000 | Win rate (rollout): 0.50 | Loss: 0.054
Step 116077/5000000 | Win rate (rollout): 0.45 | Loss: 0.008
Step 116596/5000000 | Win rate (rollout): 0.36 | Loss: 0.051
Step 117111/5000000 | Win rate (rollout): 0.36 | Loss: 0.026
Step 117625/5000000 | Win rate (rollout): 0.40 | Loss: -0.007
Step 118137/5000000 | Win rate (rollout): 0.58 | Loss: 0.061
Step 118654/5000000 | Win rate (rollout): 0.50 | Loss: 0.062
Step 119166/5000000 | Win rate (rollout): 0.09 | Loss: 0.006
Step 119678/5000000 | Win rate (rollout): 0.12 | Loss: 0.014
Step 120190/5000000 | Win rate (rollout): 0.18 | Loss: 0.007
Step 120702/5000000 | Win rate (rollout): 0.50 | Loss: 0.012
Step 121217/5000000 | Win rate (rollout): 0.44 | Loss: 0.025
Step 121733/5000000 | Win rate (rollout): 0.56 | Loss: 0.075
Step 122248/5000000 | Win rate (rollout): 0.17 | Loss: 0.030
Step 122760/5000000 | Win rate (rollout): 0.36 | Loss: 0.042
Step 123274/5000000 | Win rate (rollout): 0.46 | Loss: 0.072
Step 123786/5000000 | Win rate (rollout): 0.18 | Loss: 0.015
Step 124301/5000000 | Win rate (rollout): 0.25 | Loss: -0.058
Step 124813/5000000 | Win rate (rollout): 0.58 | Loss: 0.033
Step 125325/5000000 | Win rate (rollout): 0.43 | Loss: 0.036
Step 125837/5000000 | Win rate (rollout): 0.47 | Loss: 0.050
Step 126350/5000000 | Win rate (rollout): 0.36 | Loss: 0.026
Step 126862/5000000 | Win rate (rollout): 0.71 | Loss: 0.000
Step 127374/5000000 | Win rate (rollout): 0.18 | Loss: 0.045
Step 127886/5000000 | Win rate (rollout): 0.25 | Loss: 0.028
Step 128398/5000000 | Win rate (rollout): 0.44 | Loss: 0.014
Step 128915/5000000 | Win rate (rollout): 0.33 | Loss: 0.077
Step 129427/5000000 | Win rate (rollout): 0.64 | Loss: 0.064
Step 129945/5000000 | Win rate (rollout): 0.19 | Loss: 0.022
Step 130457/5000000 | Win rate (rollout): 0.20 | Loss: 0.000
Step 130970/5000000 | Win rate (rollout): 0.33 | Loss: 0.026
Step 131488/5000000 | Win rate (rollout): 0.33 | Loss: 0.038
Step 132000/5000000 | Win rate (rollout): 0.43 | Loss: 0.042
Step 132515/5000000 | Win rate (rollout): 0.44 | Loss: 0.034
Step 133030/5000000 | Win rate (rollout): 0.29 | Loss: -0.004
Step 133542/5000000 | Win rate (rollout): 0.31 | Loss: 0.032
Step 134054/5000000 | Win rate (rollout): 0.33 | Loss: 0.066
Step 134572/5000000 | Win rate (rollout): 0.50 | Loss: -0.034
Step 135084/5000000 | Win rate (rollout): 0.17 | Loss: 0.018
Step 135596/5000000 | Win rate (rollout): 0.31 | Loss: 0.074
Step 136114/5000000 | Win rate (rollout): 0.42 | Loss: 0.033
Step 136626/5000000 | Win rate (rollout): 0.22 | Loss: 0.021
Step 137138/5000000 | Win rate (rollout): 0.64 | Loss: 0.054
Step 137650/5000000 | Win rate (rollout): 0.35 | Loss: 0.040
Step 138162/5000000 | Win rate (rollout): 0.33 | Loss: 0.047
Step 138674/5000000 | Win rate (rollout): 0.40 | Loss: 0.025
Step 139190/5000000 | Win rate (rollout): 0.33 | Loss: 0.034
Step 139706/5000000 | Win rate (rollout): 0.41 | Loss: 0.056
Step 140222/5000000 | Win rate (rollout): 0.40 | Loss: 0.033
Step 140738/5000000 | Win rate (rollout): 0.53 | Loss: 0.016
Step 141252/5000000 | Win rate (rollout): 0.54 | Loss: 0.019
Step 141766/5000000 | Win rate (rollout): 0.35 | Loss: 0.021
Step 142280/5000000 | Win rate (rollout): 0.25 | Loss: 0.024
Step 142796/5000000 | Win rate (rollout): 0.40 | Loss: 0.035
Step 143311/5000000 | Win rate (rollout): 0.53 | Loss: 0.025
Step 143823/5000000 | Win rate (rollout): 0.29 | Loss: 0.013
Step 144335/5000000 | Win rate (rollout): 0.31 | Loss: 0.039
Step 144847/5000000 | Win rate (rollout): 0.62 | Loss: 0.024
Step 145359/5000000 | Win rate (rollout): 0.60 | Loss: 0.032
Step 145871/5000000 | Win rate (rollout): 0.38 | Loss: 0.063
Step 146383/5000000 | Win rate (rollout): 0.12 | Loss: 0.034
