Warm-started from BC checkpoint: models/checkpoints/bc_mlp_gen1_v3.pt
BC KL-anchor attached: models/checkpoints/bc_mlp_gen1_v3.pt (coef 0.05, constant)
Starting PPO training: 5000000 steps | obs_mode=v3 (obs_size=1032) | rollout=512 steps | num_envs=8 | device=mps | opponent=selfplay=0.5,damagefirst=0.3,random=0.2 (pool: models/ppo/checkpoints/v3) | checkpoint every 250000 steps | opp_coef=0.1
Value warmup: policy frozen until step 200000
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:260: UserWarning: checkpoint has no 'opp_head'; using a freshly initialized opponent-prediction head (expected for pre-M5 checkpoints)
  opponent = PPOAgent.load(str(path), device=device)
/Users/laithassaf/Documents/Programs/Archived/pokemon-showdown/models/ppo/train.py:260: UserWarning: could not restore optimizer state (loaded state dict contains a parameter group that doesn't match the size of optimizer's group); using a fresh optimizer (expected when loading a pre-M5 checkpoint into the headed agent)
  opponent = PPOAgent.load(str(path), device=device)
Step 512/5000000 | Win rate (rollout): 0.73 | Loss: 0.362 | Opp label coverage: 0.82
Step 1024/5000000 | Win rate (rollout): 0.33 | Loss: 0.443 | Opp label coverage: 0.84
Step 1536/5000000 | Win rate (rollout): 0.23 | Loss: 0.360 | Opp label coverage: 0.84
Step 2050/5000000 | Win rate (rollout): 0.50 | Loss: 0.305 | Opp label coverage: 0.90
Step 2566/5000000 | Win rate (rollout): 0.08 | Loss: 0.324 | Opp label coverage: 0.88
Step 3078/5000000 | Win rate (rollout): 0.50 | Loss: 0.308 | Opp label coverage: 0.82
Step 3595/5000000 | Win rate (rollout): 0.33 | Loss: 0.309 | Opp label coverage: 0.91
Step 4107/5000000 | Win rate (rollout): 0.11 | Loss: 0.294 | Opp label coverage: 0.86
Step 4619/5000000 | Win rate (rollout): 0.40 | Loss: 0.303 | Opp label coverage: 0.82
Step 5136/5000000 | Win rate (rollout): 0.56 | Loss: 0.342 | Opp label coverage: 0.91
Step 5648/5000000 | Win rate (rollout): 0.43 | Loss: 0.302 | Opp label coverage: 0.84
Step 6165/5000000 | Win rate (rollout): 0.22 | Loss: 0.355 | Opp label coverage: 0.90
Step 6677/5000000 | Win rate (rollout): 0.18 | Loss: 0.289 | Opp label coverage: 0.86
Step 7189/5000000 | Win rate (rollout): 0.25 | Loss: 0.279 | Opp label coverage: 0.84
Step 7701/5000000 | Win rate (rollout): 0.58 | Loss: 0.294 | Opp label coverage: 0.84
Step 8216/5000000 | Win rate (rollout): 0.25 | Loss: 0.301 | Opp label coverage: 0.90
Step 8731/5000000 | Win rate (rollout): 0.29 | Loss: 0.425 | Opp label coverage: 0.88
Step 9243/5000000 | Win rate (rollout): 0.17 | Loss: 0.317 | Opp label coverage: 0.88
Step 9755/5000000 | Win rate (rollout): 0.25 | Loss: 0.355 | Opp label coverage: 0.80
Step 10270/5000000 | Win rate (rollout): 0.12 | Loss: 0.361 | Opp label coverage: 0.90
Step 10784/5000000 | Win rate (rollout): 0.33 | Loss: 0.306 | Opp label coverage: 0.89
Step 11296/5000000 | Win rate (rollout): 0.33 | Loss: 0.356 | Opp label coverage: 0.90
Step 11814/5000000 | Win rate (rollout): 0.17 | Loss: 0.341 | Opp label coverage: 0.89
Step 12326/5000000 | Win rate (rollout): 0.33 | Loss: 0.299 | Opp label coverage: 0.84
Step 12838/5000000 | Win rate (rollout): 0.36 | Loss: 0.346 | Opp label coverage: 0.83
Step 13350/5000000 | Win rate (rollout): 0.24 | Loss: 0.302 | Opp label coverage: 0.86
Step 13862/5000000 | Win rate (rollout): 0.38 | Loss: 0.339 | Opp label coverage: 0.80
Step 14379/5000000 | Win rate (rollout): 0.33 | Loss: 0.360 | Opp label coverage: 0.89
